participant,Group,category,category_type,selectedItems,UnselectedItems,TrialTime,corAns,Miss,session
1,NT,things that are blue,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are blue/ice hockey player.png', 14.224431991577148], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are blue/chair.png', 16.82418203353882], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are blue/whistle.png', 18.813940048217773], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are blue/helmet.png', 22.683178901672363]]",[],26.13798118,4,0,1
1,NT,animals that live in water,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//animals that live in water//not/iguana.png', 42.93969702720642], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//animals that live in water/maine-lobster.png', 51.116498947143555], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//animals that live in water/killer-whale.png', 55.239177942276], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//animals that live in water/Sea Lion.png', 59.03739404678345]]",[],34.69991398,3,1,1
1,NT,clothes,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//clothes/skirt1.png', 76.9632179737091], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//clothes/shorts.png', 83.06630206108093], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//clothes/jacket.png', 85.56876492500305], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//clothes/skirt2.png', 89.27053904533386]]",[],27.87222099,4,0,1
1,NT,objects that hold water,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water//not/pumpkin.png', 107.64726090431213], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water//not/fish.png', 111.7987699508667], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water//not/fish.png', 119.30481696128845], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water/bucket.png', 120.76990294456482], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water/bottle.png', 126.28921294212341], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water/copper kettle.png', 130.92057585716248], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water/bottle.png', 136.4565989971161], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water/cup.png', 137.72838497161865]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water//not/fish.png', 117.51815485954285], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects that hold water/bottle.png', 135.06427788734436]]",46.96325493,4,2,1
1,NT,vegetables,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//vegetables//not/pickaxe.png', 153.38552689552307], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//vegetables/cabbage 2.png', 160.48985290527344], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//vegetables/onion.png', 164.99158787727356], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//vegetables/brocolli.png', 167.86567902565002], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//vegetables/beets.png', 171.62507605552673]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//vegetables//not/pickaxe.png', 159.23944187164307]]",30.937639,4,0,1
1,NT,fruit,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//fruit/starwberry.png', 180.02596282958984], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//fruit/raspberries.png', 186.80300188064575], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//fruit/grapes.png', 192.65778183937073], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//fruit/avocado.png', 194.59038186073303]]",[],21.35592484,4,0,1
1,NT,objects used for transportation,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects used for transportation/boat.png', 202.19452285766602], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects used for transportation/bus.png', 208.96238803863525], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects used for transportation/bike.png', 217.02096486091614]]",[],23.45527887,3,0,1
1,NT,things that are very large,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are very large/garafe.png', 230.21909189224243], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are very large//not/eye.png', 237.99464297294617], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are very large/city bus.png', 240.65132188796997], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are very large/elephant.png', 242.7233009338379], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are very large/church.png', 248.38770484924316]]",[],40.75972819,4,1,1
1,NT,birds,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//birds/toucan.png', 267.9267418384552], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//birds/swan.png', 273.1960120201111], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//birds/mallard duck.png', 276.89230585098267], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//birds/brd3.png', 280.81644797325134]]",[],27.37410402,4,0,1
1,NT,long thin objects,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//long thin objects/sculpture 54.png', 299.67736983299255], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//long thin objects/cigar.png', 303.11074686050415], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//long thin objects/file.png', 310.04834485054016], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//long thin objects/asparagus.png', 320.0862548351288]]",[],35.04143,4,0,1
