SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160519d_3T1,2,y,4,2,1,16.007784843444824,20.524983882904053,Hard,"[6, 3, 2, 8, 7, 10, 5, 9]","[6, 3, 10, 9, 7, 5, 12, 4]",1,1,1,1.6002531051635742
FED_20160519d_3T1,2,y,4,2,2,24.00881791114807,28.55935502052307,Hard,"[9, 4, 7, 8, 2, 3, 6, 5]","[8, 5, 2, 3, 7, 9, 10, 11]",1,1,1,1.3834178447723389
FED_20160519d_3T1,2,y,4,2,3,32.009788036346436,36.52703404426575,Hard,"[11, 5, 12, 3, 8, 6, 9, 4]","[8, 5, 12, 2, 6, 7, 3, 11]",2,2,1,1.4168369770050049
FED_20160519d_3T1,2,y,4,2,4,40.010809898376465,44.52806997299194,Hard,"[1, 11, 4, 7, 3, 9, 5, 12]","[9, 11, 3, 1, 10, 2, 7, 4]",2,2,1,1.450166940689087
FED_20160519d_3T1,2,y,4,2,5,48.011837005615234,52.52902388572693,Easy,"[4, 10, 6, 12]","[6, 3, 4, 10]",2,2,1,1.4168989658355713
FED_20160519d_3T1,2,y,4,2,6,56.012784004211426,60.53006386756897,Easy,"[6, 10, 8, 11]","[6, 8, 10, 7]",2,2,1,0.9834840297698975
FED_20160519d_3T1,2,y,4,2,7,64.0138189792633,68.53109002113342,Easy,"[8, 9, 5, 11]","[5, 9, 11, 2]",1,1,1,1.0834319591522217
FED_20160519d_3T1,2,y,4,2,8,72.0148389339447,76.53194403648376,Easy,"[7, 2, 10, 5]","[4, 7, 10, 2]",2,2,1,1.2336578369140625
FED_20160519d_3T1,2,y,4,2,9,80.01590085029602,84.53310084342957,Easy,"[8, 6, 10, 3]","[10, 8, 6, 4]",2,2,1,1.0167880058288574
FED_20160519d_3T1,2,y,4,2,10,88.00019693374634,92.51744890213013,Easy,"[3, 9, 8, 7]","[1, 3, 9, 8]",2,2,1,1.0667829513549805
FED_20160519d_3T1,2,y,4,2,11,96.00122284889221,100.5184428691864,Easy,"[5, 10, 12, 7]","[5, 1, 12, 10]",2,2,1,0.9834342002868652
FED_20160519d_3T1,2,y,4,2,12,104.00218605995178,108.5194149017334,Easy,"[9, 2, 8, 3]","[2, 9, 8, 11]",2,2,1,2.016922950744629
FED_20160519d_3T1,2,y,4,2,13,112.00317001342773,116.520427942276,Hard,"[11, 12, 10, 6, 3, 7, 8, 2]","[7, 8, 3, 2, 6, 11, 12, 1]",1,1,1,1.4668519496917725
FED_20160519d_3T1,2,y,4,2,14,120.00413990020752,124.52146601676941,Hard,"[4, 8, 11, 6, 5, 3, 12, 2]","[3, 12, 8, 2, 6, 11, 7, 10]",1,1,1,1.5501949787139893
FED_20160519d_3T1,2,y,4,2,15,128.00523400306702,132.52242803573608,Hard,"[8, 2, 12, 9, 10, 3, 1, 5]","[3, 8, 9, 10, 2, 12, 7, 1]",2,1,0,2.0669310092926025
FED_20160519d_3T1,2,y,4,2,16,136.00625491142273,140.52336502075195,Hard,"[1, 4, 2, 9, 5, 8, 10, 12]","[6, 4, 2, 1, 8, 5, 7, 9]",2,2,1,1.4669208526611328
FED_20160519d_3T1,2,y,4,2,17,160.00927090644836,164.55979990959167,Easy,"[1, 5, 6, 7]","[6, 1, 7, 12]",1,,0,
FED_20160519d_3T1,2,y,4,2,18,168.01022791862488,172.5274839401245,Easy,"[1, 2, 9, 8]","[2, 8, 9, 12]",1,1,1,0.9668359756469727
FED_20160519d_3T1,2,y,4,2,19,176.0112578868866,180.52853107452393,Easy,"[6, 10, 5, 9]","[10, 5, 6, 7]",1,1,1,0.6000468730926514
FED_20160519d_3T1,2,y,4,2,20,184.01231002807617,188.5294749736786,Easy,"[2, 8, 9, 6]","[9, 8, 6, 11]",1,1,1,1.2002019882202148
FED_20160519d_3T1,2,y,4,2,21,192.0133399963379,196.5305290222168,Hard,"[6, 3, 10, 11, 5, 2, 1, 4]","[10, 6, 5, 8, 3, 2, 11, 7]",2,2,1,1.1501929759979248
FED_20160519d_3T1,2,y,4,2,22,200.01427006721497,204.53153204917908,Hard,"[11, 6, 10, 3, 4, 5, 8, 7]","[4, 5, 10, 8, 3, 7, 1, 9]",1,1,1,1.250108003616333
FED_20160519d_3T1,2,y,4,2,23,208.01529097557068,212.53254890441895,Hard,"[2, 1, 12, 11, 3, 8, 4, 6]","[8, 7, 12, 4, 1, 11, 3, 2]",2,2,1,1.5668671131134033
FED_20160519d_3T1,2,y,4,2,24,216.0163140296936,220.51683902740479,Hard,"[7, 3, 6, 5, 8, 9, 2, 4]","[3, 8, 4, 9, 7, 6, 2, 12]",1,1,1,2.200291872024536
FED_20160519d_3T1,2,y,4,2,25,224.00060486793518,228.5178759098053,Hard,"[6, 10, 3, 5, 8, 7, 4, 12]","[10, 6, 8, 11, 7, 5, 3, 2]",2,2,1,1.1667780876159668
FED_20160519d_3T1,2,y,4,2,26,232.01830887794495,236.5188970565796,Hard,"[10, 11, 4, 1, 9, 8, 12, 7]","[9, 4, 8, 10, 1, 5, 12, 11]",2,2,1,1.2501327991485596
FED_20160519d_3T1,2,y,4,2,27,240.00265789031982,244.51987385749817,Hard,"[7, 2, 5, 10, 9, 1, 6, 3]","[3, 6, 9, 1, 10, 5, 7, 8]",1,1,1,2.3669722080230713
FED_20160519d_3T1,2,y,4,2,28,248.00369691848755,252.5208878517151,Hard,"[6, 10, 8, 7, 3, 4, 5, 1]","[9, 7, 12, 6, 10, 8, 4, 3]",2,1,0,1.7835562229156494
FED_20160519d_3T1,2,y,4,2,29,256.0046558380127,260.5219259262085,Easy,"[11, 8, 4, 5]","[5, 4, 11, 2]",1,1,1,1.216789960861206
FED_20160519d_3T1,2,y,4,2,30,264.0056748390198,268.52294397354126,Easy,"[2, 6, 1, 9]","[2, 1, 9, 12]",1,1,1,1.1000959873199463
FED_20160519d_3T1,2,y,4,2,31,272.0067038536072,276.5239038467407,Easy,"[9, 3, 7, 12]","[3, 9, 11, 7]",2,2,1,1.466900110244751
