SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160621a_3T2,2,y,4,2,1,16.001283168792725,20.541524171829224,Hard,"[4, 2, 9, 7, 3, 1, 6, 10]","[1, 3, 4, 11, 9, 7, 2, 5]",2,,0,
FED_20160621a_3T2,2,y,4,2,2,24.007404088974,28.530649185180664,Hard,"[3, 11, 4, 1, 2, 10, 6, 7]","[10, 7, 4, 2, 3, 11, 6, 8]",1,,0,
FED_20160621a_3T2,2,y,4,2,3,32.013116121292114,36.51977205276489,Hard,"[6, 8, 2, 1, 5, 3, 12, 11]","[2, 6, 12, 3, 8, 1, 5, 10]",2,1,0,2.0106770992279053
FED_20160621a_3T2,2,y,4,2,4,40.002246141433716,44.5116240978241,Hard,"[2, 8, 11, 12, 10, 7, 9, 5]","[3, 9, 12, 2, 7, 11, 10, 8]",2,2,1,1.5889379978179932
FED_20160621a_3T2,2,y,4,2,5,48.00819516181946,52.53143501281738,Easy,"[6, 7, 3, 12]","[7, 2, 3, 6]",2,2,1,0.7881519794464111
FED_20160621a_3T2,2,y,4,2,6,56.01405310630798,60.52053618431091,Easy,"[12, 11, 8, 7]","[11, 6, 8, 12]",2,2,1,0.7211258411407471
FED_20160621a_3T2,2,y,4,2,7,64.00310111045837,68.52640509605408,Easy,"[10, 8, 11, 4]","[9, 11, 10, 8]",2,2,1,0.6707279682159424
FED_20160621a_3T2,2,y,4,2,8,72.025799036026,76.5322630405426,Easy,"[9, 7, 8, 12]","[10, 7, 9, 8]",2,2,1,1.3740830421447754
FED_20160621a_3T2,2,y,4,2,9,80.01495814323425,84.53811001777649,Easy,"[9, 3, 12, 4]","[3, 9, 4, 6]",1,1,1,2.16135311126709
FED_20160621a_3T2,2,y,4,2,10,88.00397801399231,92.52725720405579,Easy,"[7, 3, 1, 11]","[3, 10, 1, 7]",2,2,1,1.3238608837127686
FED_20160621a_3T2,2,y,4,2,11,96.00988602638245,100.5191171169281,Easy,"[2, 7, 10, 5]","[10, 3, 2, 7]",2,2,1,0.9525439739227295
FED_20160621a_3T2,2,y,4,2,12,104.01574611663818,108.53896403312683,Easy,"[6, 10, 12, 8]","[12, 7, 10, 6]",2,2,1,1.1062040328979492
FED_20160621a_3T2,2,y,4,2,13,112.00481605529785,116.52803206443787,Hard,"[5, 4, 7, 1, 6, 11, 12, 3]","[6, 2, 5, 4, 7, 8, 1, 11]",2,2,1,1.2068750858306885
FED_20160621a_3T2,2,y,4,2,14,120.0106999874115,124.517165184021,Hard,"[5, 9, 3, 6, 7, 11, 12, 4]","[2, 7, 11, 10, 9, 5, 3, 6]",2,2,1,1.1109659671783447
FED_20160621a_3T2,2,y,4,2,15,128.0005099773407,132.50904417037964,Hard,"[8, 12, 7, 4, 11, 10, 1, 2]","[12, 7, 10, 3, 8, 4, 6, 11]",2,2,1,1.3378169536590576
FED_20160621a_3T2,2,y,4,2,16,136.00560808181763,140.528911113739,Hard,"[11, 6, 9, 12, 10, 5, 7, 8]","[6, 5, 7, 12, 10, 8, 11, 1]",1,1,1,1.3740520477294922
FED_20160621a_3T2,2,y,4,2,17,160.0065221786499,164.54636907577515,Easy,"[7, 3, 2, 8]","[3, 2, 7, 12]",1,1,1,1.357248067855835
FED_20160621a_3T2,2,y,4,2,18,168.01233911514282,172.5355851650238,Easy,"[3, 11, 6, 5]","[5, 3, 11, 10]",1,1,1,1.08945894241333
FED_20160621a_3T2,2,y,4,2,19,176.00147819519043,180.52465200424194,Easy,"[12, 11, 9, 6]","[11, 9, 12, 10]",2,2,1,0.8049700260162354
FED_20160621a_3T2,2,y,4,2,20,184.00727701187134,188.51654314994812,Easy,"[1, 11, 12, 5]","[12, 1, 11, 3]",1,1,1,1.5221178531646729
FED_20160621a_3T2,2,y,4,2,21,192.0130820274353,196.5363380908966,Hard,"[12, 10, 2, 8, 11, 1, 3, 5]","[8, 10, 6, 2, 11, 12, 7, 1]",2,1,0,2.044217109680176
FED_20160621a_3T2,2,y,4,2,22,200.00228214263916,204.5255160331726,Hard,"[5, 4, 3, 10, 7, 8, 1, 11]","[10, 4, 11, 3, 8, 7, 6, 9]",1,1,1,1.5123579502105713
FED_20160621a_3T2,2,y,4,2,23,208.00812697410583,212.53132605552673,Hard,"[9, 8, 7, 11, 6, 5, 3, 2]","[4, 6, 5, 7, 11, 8, 9, 10]",2,1,0,2.010733127593994
FED_20160621a_3T2,2,y,4,2,24,216.03073501586914,220.50651216506958,Hard,"[9, 1, 7, 10, 5, 6, 12, 11]","[10, 11, 1, 6, 9, 12, 2, 3]",1,1,1,1.3591279983520508
FED_20160621a_3T2,2,y,4,2,25,224.0029811859131,228.5430510044098,Hard,"[10, 1, 11, 4, 2, 6, 12, 9]","[1, 8, 2, 4, 6, 10, 11, 5]",2,2,1,1.1061620712280273
FED_20160621a_3T2,2,y,4,2,26,232.00898814201355,236.53220319747925,Hard,"[7, 11, 3, 9, 4, 8, 5, 2]","[8, 7, 11, 4, 5, 3, 9, 12]",2,1,0,2.044153928756714
FED_20160621a_3T2,2,y,4,2,27,240.01482701301575,244.52130007743835,Hard,"[8, 12, 7, 11, 9, 6, 5, 2]","[12, 6, 11, 9, 2, 8, 7, 3]",1,1,1,2.261826992034912
FED_20160621a_3T2,2,y,4,2,28,248.00439715385437,252.5438849925995,Hard,"[12, 10, 5, 3, 2, 1, 11, 6]","[2, 11, 3, 10, 1, 5, 6, 4]",1,1,1,1.3071110248565674
FED_20160621a_3T2,2,y,4,2,29,256.00980615615845,260.5330309867859,Easy,"[8, 2, 1, 3]","[12, 1, 2, 8]",2,2,1,1.307075023651123
FED_20160621a_3T2,2,y,4,2,30,264.0156559944153,268.52203607559204,Easy,"[11, 12, 6, 5]","[6, 11, 12, 1]",1,1,1,1.2069809436798096
FED_20160621a_3T2,2,y,4,2,31,272.0047550201416,276.5140061378479,Easy,"[3, 2, 8, 9]","[3, 8, 2, 12]",1,1,1,0.8858239650726318
FED_20160621a_3T2,2,y,4,2,32,280.01058316230774,284.50307416915894,Easy,"[12, 4, 10, 6]","[10, 12, 2, 4]",2,2,1,0.8691220283508301
FED_20160621a_3T2,2,y,4,2,33,304.0116741657257,308.50397515296936,Hard,"[3, 5, 9, 11, 1, 4, 12, 2]","[2, 1, 3, 4, 11, 9, 12, 6]",1,1,1,1.4259579181671143
FED_20160621a_3T2,2,y,4,2,34,312.00055599212646,316.5404920578003,Hard,"[3, 12, 10, 2, 6, 4, 7, 8]","[4, 6, 2, 12, 11, 10, 3, 9]",2,2,1,1.7090070247650146
FED_20160621a_3T2,2,y,4,2,35,320.00640201568604,324.5296161174774,Hard,"[2, 5, 1, 11, 9, 3, 4, 8]","[12, 11, 3, 9, 5, 1, 2, 10]",2,2,1,1.474519968032837
FED_20160621a_3T2,2,y,4,2,36,328.0122799873352,332.5187430381775,Hard,"[9, 5, 8, 12, 7, 3, 6, 1]","[6, 3, 8, 10, 5, 12, 9, 7]",2,2,1,0.771090030670166
FED_20160621a_3T2,2,y,4,2,37,336.0016920566559,340.524619102478,Easy,"[6, 5, 12, 11]","[11, 5, 12, 10]",1,1,1,0.6201050281524658
FED_20160621a_3T2,2,y,4,2,38,344.00723004341125,348.5304491519928,Easy,"[4, 8, 9, 1]","[8, 1, 4, 5]",1,1,1,1.4456679821014404
FED_20160621a_3T2,2,y,4,2,39,352.01300501823425,356.5195381641388,Easy,"[9, 8, 10, 6]","[12, 9, 10, 8]",2,2,1,0.8885939121246338
FED_20160621a_3T2,2,y,4,2,40,360.0021941661835,364.511470079422,Easy,"[7, 10, 2, 3]","[10, 2, 7, 9]",1,1,1,1.20375394821167
FED_20160621a_3T2,2,y,4,2,41,368.0080690383911,372.53128719329834,Easy,"[12, 4, 8, 7]","[4, 7, 8, 3]",1,1,1,1.256870985031128
FED_20160621a_3T2,2,y,4,2,42,376.0139071941376,380.5203821659088,Easy,"[5, 2, 7, 4]","[5, 7, 6, 2]",2,2,1,1.0896170139312744
FED_20160621a_3T2,2,y,4,2,43,384.00300097465515,388.5262451171875,Easy,"[3, 5, 11, 9]","[11, 5, 1, 3]",2,2,1,1.4241890907287598
FED_20160621a_3T2,2,y,4,2,44,392.0094850063324,396.5319640636444,Easy,"[1, 12, 4, 10]","[4, 1, 2, 12]",2,2,1,0.8766460418701172
FED_20160621a_3T2,2,y,4,2,45,400.0147521495819,404.53785014152527,Hard,"[3, 11, 4, 7, 10, 5, 6, 9]","[3, 5, 11, 10, 4, 9, 2, 8]",1,1,1,2.0943830013275146
FED_20160621a_3T2,2,y,4,2,46,408.00382113456726,412.5270631313324,Hard,"[6, 8, 4, 10, 3, 5, 9, 1]","[3, 8, 7, 5, 4, 10, 6, 11]",2,2,1,1.3404970169067383
FED_20160621a_3T2,2,y,4,2,47,416.00970005989075,420.5189549922943,Hard,"[12, 11, 6, 8, 5, 7, 1, 3]","[7, 11, 2, 9, 5, 12, 8, 6]",2,2,1,0.8857309818267822
FED_20160621a_3T2,2,y,4,2,48,424.01550006866455,428.5079720020294,Hard,"[7, 3, 5, 2, 1, 11, 6, 9]","[10, 6, 2, 5, 1, 11, 7, 3]",2,1,0,2.393033981323242
