SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160623b_3T2,1,y,4,1,1,16.007508993148804,20.52475595474243,Easy,"[12, 5, 4, 2]","[12, 4, 10, 5]",2,2,1,1.5167770385742188
FED_20160623b_3T2,1,y,4,1,2,24.008375883102417,28.525496006011963,Easy,"[5, 2, 6, 10]","[6, 2, 10, 3]",1,1,1,1.6001169681549072
FED_20160623b_3T2,1,y,4,1,3,32.00918483734131,36.526235818862915,Easy,"[9, 1, 5, 12]","[9, 5, 2, 1]",2,2,1,0.9334170818328857
FED_20160623b_3T2,1,y,4,1,4,40.009928941726685,44.526983976364136,Easy,"[6, 7, 3, 5]","[5, 7, 6, 8]",1,1,1,0.7167809009552002
FED_20160623b_3T2,1,y,4,1,5,48.01066589355469,52.527714014053345,Hard,"[7, 11, 1, 2, 12, 9, 10, 4]","[5, 2, 1, 9, 6, 12, 7, 11]",2,2,1,1.4501678943634033
FED_20160623b_3T2,1,y,4,1,6,56.01139783859253,60.528528928756714,Hard,"[3, 8, 2, 12, 10, 7, 11, 1]","[11, 3, 10, 8, 7, 6, 2, 12]",2,2,1,0.8667318820953369
FED_20160623b_3T2,1,y,4,1,7,64.01215600967407,68.5292649269104,Hard,"[5, 7, 11, 8, 6, 10, 2, 1]","[8, 7, 5, 6, 2, 10, 9, 4]",1,1,1,1.6334590911865234
FED_20160623b_3T2,1,y,4,1,8,72.01288199424744,76.53000688552856,Hard,"[11, 1, 7, 2, 4, 5, 6, 3]","[1, 3, 7, 4, 6, 2, 11, 9]",1,2,0,1.0667729377746582
FED_20160623b_3T2,1,y,4,1,9,80.01369404792786,84.53074097633362,Hard,"[7, 2, 10, 5, 9, 6, 1, 8]","[7, 5, 1, 8, 2, 6, 10, 12]",1,1,1,1.3168058395385742
FED_20160623b_3T2,1,y,4,1,10,88.01443195343018,92.53149199485779,Hard,"[9, 3, 11, 12, 4, 10, 7, 1]","[3, 9, 10, 12, 11, 4, 6, 7]",2,1,0,1.766800880432129
FED_20160623b_3T2,1,y,4,1,11,96.0151720046997,100.53222990036011,Hard,"[10, 7, 9, 12, 11, 8, 4, 3]","[5, 11, 6, 12, 10, 7, 8, 9]",2,2,1,0.8167219161987305
FED_20160623b_3T2,1,y,4,1,12,104.0159080028534,108.53295588493347,Hard,"[6, 9, 4, 7, 3, 12, 8, 5]","[4, 5, 8, 12, 6, 3, 2, 11]",1,1,1,2.000190019607544
FED_20160623b_3T2,1,y,4,1,13,112.01665186882019,116.55036497116089,Easy,"[12, 2, 8, 1]","[2, 12, 8, 3]",1,1,1,1.5168650150299072
FED_20160623b_3T2,1,y,4,1,14,120.00072288513184,124.5177698135376,Easy,"[6, 2, 1, 12]","[1, 12, 6, 4]",1,1,1,1.2501342296600342
FED_20160623b_3T2,1,y,4,1,15,128.0014569759369,132.51851296424866,Easy,"[8, 12, 9, 2]","[9, 12, 7, 8]",2,2,1,1.3668129444122314
FED_20160623b_3T2,1,y,4,1,16,136.0022099018097,140.51925802230835,Easy,"[8, 3, 7, 2]","[6, 3, 7, 8]",2,2,1,0.6667618751525879
FED_20160623b_3T2,1,y,4,1,17,160.0044138431549,164.52146291732788,Hard,"[3, 9, 10, 4, 12, 5, 7, 11]","[6, 10, 4, 12, 3, 9, 8, 5]",2,2,1,2.9669439792633057
FED_20160623b_3T2,1,y,4,1,18,168.00515699386597,172.52220797538757,Hard,"[11, 4, 10, 8, 7, 6, 12, 3]","[6, 10, 2, 1, 7, 4, 8, 11]",2,2,1,2.066861867904663
FED_20160623b_3T2,1,y,4,1,19,176.00589084625244,180.5229458808899,Hard,"[12, 7, 5, 11, 9, 1, 2, 3]","[7, 1, 11, 12, 5, 2, 3, 10]",1,1,1,1.450166940689087
FED_20160623b_3T2,1,y,4,1,20,184.00663089752197,188.52368998527527,Hard,"[4, 5, 11, 1, 6, 10, 12, 2]","[11, 5, 4, 6, 7, 1, 8, 10]",2,1,0,1.5168390274047852
FED_20160623b_3T2,1,y,4,1,21,192.00738286972046,196.52443194389343,Easy,"[5, 4, 9, 10]","[4, 5, 9, 8]",1,1,1,1.0167570114135742
FED_20160623b_3T2,1,y,4,1,22,200.00811886787415,204.52516388893127,Easy,"[12, 9, 4, 6]","[9, 12, 6, 1]",1,1,1,1.1001379489898682
FED_20160623b_3T2,1,y,4,1,23,208.00886392593384,212.52591586112976,Easy,"[8, 11, 10, 6]","[11, 6, 8, 3]",1,1,1,0.9668130874633789
FED_20160623b_3T2,1,y,4,1,24,216.00959300994873,220.5267128944397,Easy,"[5, 1, 6, 12]","[12, 1, 5, 11]",1,1,1,0.9334080219268799
FED_20160623b_3T2,1,y,4,1,25,224.01032996177673,228.52745294570923,Easy,"[9, 7, 4, 3]","[4, 9, 6, 7]",2,2,1,1.1333730220794678
FED_20160623b_3T2,1,y,4,1,26,232.01107001304626,236.52819395065308,Easy,"[3, 7, 1, 5]","[7, 3, 5, 10]",1,1,1,0.6500329971313477
FED_20160623b_3T2,1,y,4,1,27,240.01180696487427,244.52892994880676,Easy,"[6, 2, 11, 3]","[6, 3, 2, 10]",1,1,1,0.7000429630279541
FED_20160623b_3T2,1,y,4,1,28,248.01254796981812,252.54631996154785,Easy,"[10, 4, 3, 11]","[3, 4, 10, 9]",1,1,1,1.0334620475769043
FED_20160623b_3T2,1,y,4,1,29,256.013356924057,260.53040885925293,Hard,"[1, 2, 10, 3, 5, 11, 12, 9]","[5, 3, 1, 6, 2, 7, 11, 10]",2,2,1,0.9667589664459229
FED_20160623b_3T2,1,y,4,1,30,264.0140998363495,268.53114891052246,Hard,"[11, 8, 6, 12, 4, 7, 3, 5]","[5, 6, 12, 8, 3, 7, 10, 2]",1,2,0,1.3501579761505127
