"ROI","Subject","Effect","LocalizerSize","EffectSize"
1,"249_FED_20160519a_3T1_PL2017","LD",58,0.900916
1,"249_FED_20160519a_3T1_PL2017","HD",58,0.417837
1,"249_FED_20160519a_3T1_PL2017","LD-HD",58,0.483079
1,"376_FED_20160519b_3T1_PL2017","LD",58,0.167585
1,"376_FED_20160519b_3T1_PL2017","HD",58,0.27712
1,"376_FED_20160519b_3T1_PL2017","LD-HD",58,-0.109535
1,"343_FED_20160519c_3T1_PL2017","LD",58,1.972819
1,"343_FED_20160519c_3T1_PL2017","HD",58,1.100309
1,"343_FED_20160519c_3T1_PL2017","LD-HD",58,0.872509
1,"399_FED_20160519d_3T1_PL2017","LD",58,1.265511
1,"399_FED_20160519d_3T1_PL2017","HD",58,0.82165
1,"399_FED_20160519d_3T1_PL2017","LD-HD",58,0.443861
1,"400_FED_20160520a_3T1_PL2017","LD",58,2.521462
1,"400_FED_20160520a_3T1_PL2017","HD",58,1.234886
1,"400_FED_20160520a_3T1_PL2017","LD-HD",58,1.286576
1,"366_FED_20160520b_3T1_PL2017","LD",58,0.134049
1,"366_FED_20160520b_3T1_PL2017","HD",58,-0.044588
1,"366_FED_20160520b_3T1_PL2017","LD-HD",58,0.178637
1,"289_FED_20160520c_3T1_PL2017","LD",58,1.310293
1,"289_FED_20160520c_3T1_PL2017","HD",58,0.916472
1,"289_FED_20160520c_3T1_PL2017","LD-HD",58,0.393821
1,"401_FED_20160520d_3T1_PL2017","LD",58,0.743326
1,"401_FED_20160520d_3T1_PL2017","HD",58,-0.113078
1,"401_FED_20160520d_3T1_PL2017","LD-HD",58,0.856404
1,"409_FED_20160622a_3T1_PL2017","LD",58,2.168568
1,"409_FED_20160622a_3T1_PL2017","HD",58,0.147775
1,"409_FED_20160622a_3T1_PL2017","LD-HD",58,2.020793
1,"410_FED_20160623b_3T2_PL2017","LD",58,0.112331
1,"410_FED_20160623b_3T2_PL2017","HD",58,-0.041171
1,"410_FED_20160623b_3T2_PL2017","LD-HD",58,0.153503
1,"405_FED_20160707b_3T1_PL2017","LD",58,-0.426788
1,"405_FED_20160707b_3T1_PL2017","HD",58,-0.846822
1,"405_FED_20160707b_3T1_PL2017","LD-HD",58,0.420034
1,"408_FED_20160711a2_3T1_PL2017","LD",58,0.51876
1,"408_FED_20160711a2_3T1_PL2017","HD",58,0.268087
1,"408_FED_20160711a2_3T1_PL2017","LD-HD",58,0.250673
1,"290_FED_20160906c_3T2_PL2017","LD",58,0.773258
1,"290_FED_20160906c_3T2_PL2017","HD",58,0.099263
1,"290_FED_20160906c_3T2_PL2017","LD-HD",58,0.673995
1,"252_FED_20160907b_3T2_PL2017","LD",58,0.998341
1,"252_FED_20160907b_3T2_PL2017","HD",58,0.847596
1,"252_FED_20160907b_3T2_PL2017","LD-HD",58,0.150745
11,"249_FED_20160519a_3T1_PL2017","LD",28,-0.020845
11,"249_FED_20160519a_3T1_PL2017","HD",28,-0.857354
11,"249_FED_20160519a_3T1_PL2017","LD-HD",28,0.836509
11,"376_FED_20160519b_3T1_PL2017","LD",28,-0.406112
11,"376_FED_20160519b_3T1_PL2017","HD",28,-0.406401
11,"376_FED_20160519b_3T1_PL2017","LD-HD",28,0.000289
11,"343_FED_20160519c_3T1_PL2017","LD",28,1.46955
11,"343_FED_20160519c_3T1_PL2017","HD",28,0.742902
11,"343_FED_20160519c_3T1_PL2017","LD-HD",28,0.726648
11,"399_FED_20160519d_3T1_PL2017","LD",28,-0.32134
11,"399_FED_20160519d_3T1_PL2017","HD",28,-0.837523
11,"399_FED_20160519d_3T1_PL2017","LD-HD",28,0.516183
11,"400_FED_20160520a_3T1_PL2017","LD",28,0.522021
11,"400_FED_20160520a_3T1_PL2017","HD",28,-0.172971
11,"400_FED_20160520a_3T1_PL2017","LD-HD",28,0.694992
11,"366_FED_20160520b_3T1_PL2017","LD",28,-0.476195
11,"366_FED_20160520b_3T1_PL2017","HD",28,-0.602814
11,"366_FED_20160520b_3T1_PL2017","LD-HD",28,0.12662
11,"289_FED_20160520c_3T1_PL2017","LD",28,0.029092
11,"289_FED_20160520c_3T1_PL2017","HD",28,-0.066049
11,"289_FED_20160520c_3T1_PL2017","LD-HD",28,0.095141
11,"401_FED_20160520d_3T1_PL2017","LD",28,-0.642198
11,"401_FED_20160520d_3T1_PL2017","HD",28,-1.442168
