"ROI","Subject","Effect","LocalizerSize","EffectSize"
1,"249_KAN_EvDB_20150130_PL2017","S",58,0.012072
1,"249_KAN_EvDB_20150130_PL2017","N",58,0.054768
1,"376_FED_20160401b_3T2_PL2017","S",58,-0.087077
1,"376_FED_20160401b_3T2_PL2017","N",58,0.020099
1,"343_FED_20160107a_3T2_PL2017","S",58,0.284484
1,"343_FED_20160107a_3T2_PL2017","N",58,0.827782
1,"399_FED_20160519d_3T1_PL2017","S",58,0.109495
1,"399_FED_20160519d_3T1_PL2017","N",58,-0.086891
1,"400_FED_20160520a_3T1_PL2017","S",58,-0.727342
1,"400_FED_20160520a_3T1_PL2017","N",58,0.989237
1,"366_FED_20160229d_3T1_PL2017","S",58,-0.487523
1,"366_FED_20160229d_3T1_PL2017","N",58,0.379108
1,"289_FED_20150613b_3T1_PL2017","S",58,0.193368
1,"289_FED_20150613b_3T1_PL2017","N",58,0.896347
1,"401_FED_20160520d_3T1_PL2017","S",58,1.165103
1,"401_FED_20160520d_3T1_PL2017","N",58,1.764839
1,"409_FED_20160622a_3T1_PL2017","S",58,-1.511665
1,"409_FED_20160622a_3T1_PL2017","N",58,0.127949
1,"410_FED_20160623b_3T2_PL2017","S",58,-0.495289
1,"410_FED_20160623b_3T2_PL2017","N",58,-0.426077
1,"405_FED_20160531a_3T1_PL2017","S",58,-0.484549
1,"405_FED_20160531a_3T1_PL2017","N",58,-0.0453
1,"408_FED_20160617a_3T2_PL2017","S",58,-0.105173
1,"408_FED_20160617a_3T2_PL2017","N",58,0.095231
1,"290_FED_20150615a_3T2_PL2017","S",58,-0.627633
1,"290_FED_20150615a_3T2_PL2017","N",58,-0.669482
1,"252_KAN_evDB_20150206_PL2017","S",58,0.872475
1,"252_KAN_evDB_20150206_PL2017","N",58,1.347093
11,"249_KAN_EvDB_20150130_PL2017","S",28,-0.081326
11,"249_KAN_EvDB_20150130_PL2017","N",28,-0.226769
11,"376_FED_20160401b_3T2_PL2017","S",28,-0.017624
11,"376_FED_20160401b_3T2_PL2017","N",28,0.40845
11,"343_FED_20160107a_3T2_PL2017","S",28,0.034941
11,"343_FED_20160107a_3T2_PL2017","N",28,0.206199
11,"399_FED_20160519d_3T1_PL2017","S",28,-0.83221
11,"399_FED_20160519d_3T1_PL2017","N",28,-0.82479
11,"400_FED_20160520a_3T1_PL2017","S",28,-1.022007
11,"400_FED_20160520a_3T1_PL2017","N",28,-0.020368
11,"366_FED_20160229d_3T1_PL2017","S",28,-1.177387
11,"366_FED_20160229d_3T1_PL2017","N",28,-0.073899
11,"289_FED_20150613b_3T1_PL2017","S",28,-0.152883
11,"289_FED_20150613b_3T1_PL2017","N",28,0.043764
11,"401_FED_20160520d_3T1_PL2017","S",28,-0.285577
11,"401_FED_20160520d_3T1_PL2017","N",28,-0.220954
11,"409_FED_20160622a_3T1_PL2017","S",28,-0.668809
11,"409_FED_20160622a_3T1_PL2017","N",28,-0.558967
11,"410_FED_20160623b_3T2_PL2017","S",28,-0.354752
11,"410_FED_20160623b_3T2_PL2017","N",28,-0.044876
11,"405_FED_20160531a_3T1_PL2017","S",28,0.199276
11,"405_FED_20160531a_3T1_PL2017","N",28,0.14314
11,"408_FED_20160617a_3T2_PL2017","S",28,0.400099
11,"408_FED_20160617a_3T2_PL2017","N",28,0.769055
11,"290_FED_20150615a_3T2_PL2017","S",28,-1.081158
11,"290_FED_20150615a_3T2_PL2017","N",28,-1.007489
11,"252_KAN_evDB_20150206_PL2017","S",28,1.340908
11,"252_KAN_evDB_20150206_PL2017","N",28,1.673884
