"ROI","Subject","Effect","LocalizerSize","EffectSize"
1,"249_KAN_EvDB_20150130_PL2017","H",58,3.115176
1,"249_KAN_EvDB_20150130_PL2017","E",58,2.335405
1,"376_FED_20160401b_3T2_PL2017","H",58,1.945889
1,"376_FED_20160401b_3T2_PL2017","E",58,1.697562
1,"343_FED_20160107a_3T2_PL2017","H",58,3.223241
1,"343_FED_20160107a_3T2_PL2017","E",58,2.464714
1,"399_FED_20160519d_3T1_PL2017","H",58,0.939674
1,"399_FED_20160519d_3T1_PL2017","E",58,0.000165
1,"400_FED_20160520a_3T1_PL2017","H",58,4.900338
1,"400_FED_20160520a_3T1_PL2017","E",58,2.712202
1,"366_FED_20160520b_3T1_PL2017","H",58,1.824462
1,"366_FED_20160520b_3T1_PL2017","E",58,1.849825
1,"289_FED_20150715b_3T2_PL2017","H",58,0.521728
1,"289_FED_20150715b_3T2_PL2017","E",58,0.874844
1,"401_FED_20160520d_3T1_PL2017","H",58,3.794726
1,"401_FED_20160520d_3T1_PL2017","E",58,3.056744
1,"409_FED_20160622a_3T1_PL2017","H",58,5.130699
1,"409_FED_20160622a_3T1_PL2017","E",58,4.38106
1,"410_FED_20160623b_3T2_PL2017","H",58,2.778717
1,"410_FED_20160623b_3T2_PL2017","E",58,2.097869
1,"405_FED_20160707b_3T1_PL2017","H",58,1.804246
1,"405_FED_20160707b_3T1_PL2017","E",58,1.079728
1,"408_FED_20160621a_3T2_PL2017","H",58,1.626081
1,"408_FED_20160621a_3T2_PL2017","E",58,0.575519
1,"290_FED_20150615a_3T2_PL2017","H",58,3.836105
1,"290_FED_20150615a_3T2_PL2017","E",58,3.028239
1,"252_KAN_evDB_20150206_PL2017","H",58,1.833576
1,"252_KAN_evDB_20150206_PL2017","E",58,1.375011
11,"249_KAN_EvDB_20150130_PL2017","H",28,1.168045
11,"249_KAN_EvDB_20150130_PL2017","E",28,1.219179
11,"376_FED_20160401b_3T2_PL2017","H",28,0.437199
11,"376_FED_20160401b_3T2_PL2017","E",28,-0.101253
11,"343_FED_20160107a_3T2_PL2017","H",28,0.878205
11,"343_FED_20160107a_3T2_PL2017","E",28,0.486458
11,"399_FED_20160519d_3T1_PL2017","H",28,-1.153007
11,"399_FED_20160519d_3T1_PL2017","E",28,-1.246884
11,"400_FED_20160520a_3T1_PL2017","H",28,0.752577
11,"400_FED_20160520a_3T1_PL2017","E",28,-0.013264
11,"366_FED_20160520b_3T1_PL2017","H",28,0.197719
11,"366_FED_20160520b_3T1_PL2017","E",28,0.140128
11,"289_FED_20150715b_3T2_PL2017","H",28,0.553248
11,"289_FED_20150715b_3T2_PL2017","E",28,0.744316
11,"401_FED_20160520d_3T1_PL2017","H",28,0.576188
11,"401_FED_20160520d_3T1_PL2017","E",28,0.882188
11,"409_FED_20160622a_3T1_PL2017","H",28,1.306836
11,"409_FED_20160622a_3T1_PL2017","E",28,0.669863
11,"410_FED_20160623b_3T2_PL2017","H",28,0.240418
11,"410_FED_20160623b_3T2_PL2017","E",28,0.318242
11,"405_FED_20160707b_3T1_PL2017","H",28,0.976194
11,"405_FED_20160707b_3T1_PL2017","E",28,1.281936
11,"408_FED_20160621a_3T2_PL2017","H",28,1.844623
11,"408_FED_20160621a_3T2_PL2017","E",28,0.586102
11,"290_FED_20150615a_3T2_PL2017","H",28,-0.128548
11,"290_FED_20150615a_3T2_PL2017","E",28,-0.178847
11,"252_KAN_evDB_20150206_PL2017","H",28,0.951613
11,"252_KAN_evDB_20150206_PL2017","E",28,0.727257
