ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,SEM, 37,0.540737
1,249_FED_20160519a_3T1_PL2017,PERC, 37,0.100974
1,376_FED_20160519b_3T1_PL2017,SEM, 37,0.287166
1,376_FED_20160519b_3T1_PL2017,PERC, 37,0.081809
1,343_FED_20160519c_3T1_PL2017,SEM, 37,1.599924
1,343_FED_20160519c_3T1_PL2017,PERC, 37,1.972636
1,399_FED_20160519d_3T1_PL2017,SEM, 37,1.010648
1,399_FED_20160519d_3T1_PL2017,PERC, 37,1.128890
1,400_FED_20160520a_3T1_PL2017,SEM, 37,-0.277858
1,400_FED_20160520a_3T1_PL2017,PERC, 37,-0.334980
1,366_FED_20160520b_3T1_PL2017,SEM, 37,0.153278
1,366_FED_20160520b_3T1_PL2017,PERC, 37,-0.115069
1,289_FED_20160520c_3T1_PL2017,SEM, 37,0.854023
1,289_FED_20160520c_3T1_PL2017,PERC, 37,-0.314799
1,401_FED_20160520d_3T1_PL2017,SEM, 37,-0.525259
1,401_FED_20160520d_3T1_PL2017,PERC, 37,-0.222082
1,409_FED_20160622a_3T1_PL2017,SEM, 37,0.488273
1,409_FED_20160622a_3T1_PL2017,PERC, 37,0.378151
1,410_FED_20160623b_3T2_PL2017,SEM, 37,0.127449
1,410_FED_20160623b_3T2_PL2017,PERC, 37,0.048540
1,405_FED_20160707b_3T1_PL2017,SEM, 37,0.269652
1,405_FED_20160707b_3T1_PL2017,PERC, 37,0.099414
1,408_FED_20160711a2_3T1_PL2017,SEM, 37,0.701750
1,408_FED_20160711a2_3T1_PL2017,PERC, 37,0.659157
1,290_FED_20160906c_3T2_PL2017,SEM, 37,0.293226
1,290_FED_20160906c_3T2_PL2017,PERC, 37,0.076992
1,252_FED_20160907b_3T2_PL2017,SEM, 37,1.681815
1,252_FED_20160907b_3T2_PL2017,PERC, 37,2.546175
2,249_FED_20160519a_3T1_PL2017,SEM, 74,0.400038
2,249_FED_20160519a_3T1_PL2017,PERC, 74,-0.051597
2,376_FED_20160519b_3T1_PL2017,SEM, 74,1.612912
2,376_FED_20160519b_3T1_PL2017,PERC, 74,1.067666
2,343_FED_20160519c_3T1_PL2017,SEM, 74,1.098480
2,343_FED_20160519c_3T1_PL2017,PERC, 74,1.846087
2,399_FED_20160519d_3T1_PL2017,SEM, 74,1.527091
2,399_FED_20160519d_3T1_PL2017,PERC, 74,1.653640
2,400_FED_20160520a_3T1_PL2017,SEM, 74,2.078974
2,400_FED_20160520a_3T1_PL2017,PERC, 74,1.604031
2,366_FED_20160520b_3T1_PL2017,SEM, 74,0.852951
2,366_FED_20160520b_3T1_PL2017,PERC, 74,0.369103
2,289_FED_20160520c_3T1_PL2017,SEM, 74,0.462695
2,289_FED_20160520c_3T1_PL2017,PERC, 74,0.067523
2,401_FED_20160520d_3T1_PL2017,SEM, 74,-0.481991
2,401_FED_20160520d_3T1_PL2017,PERC, 74,-0.332649
2,409_FED_20160622a_3T1_PL2017,SEM, 74,-0.105577
2,409_FED_20160622a_3T1_PL2017,PERC, 74,0.095396
2,410_FED_20160623b_3T2_PL2017,SEM, 74,0.852949
2,410_FED_20160623b_3T2_PL2017,PERC, 74,0.702952
2,405_FED_20160707b_3T1_PL2017,SEM, 74,1.526190
2,405_FED_20160707b_3T1_PL2017,PERC, 74,1.170480
2,408_FED_20160711a2_3T1_PL2017,SEM, 74,1.300500
2,408_FED_20160711a2_3T1_PL2017,PERC, 74,1.003053
2,290_FED_20160906c_3T2_PL2017,SEM, 74,1.103124
2,290_FED_20160906c_3T2_PL2017,PERC, 74,0.777328
2,252_FED_20160907b_3T2_PL2017,SEM, 74,1.690965
2,252_FED_20160907b_3T2_PL2017,PERC, 74,2.440267
3,249_FED_20160519a_3T1_PL2017,SEM, 46,0.653393
3,249_FED_20160519a_3T1_PL2017,PERC, 46,0.354729
3,376_FED_20160519b_3T1_PL2017,SEM, 46,0.969957
3,376_FED_20160519b_3T1_PL2017,PERC, 46,0.662988
3,343_FED_20160519c_3T1_PL2017,SEM, 46,2.210663
3,343_FED_20160519c_3T1_PL2017,PERC, 46,3.006272
3,399_FED_20160519d_3T1_PL2017,SEM, 46,0.475521
3,399_FED_20160519d_3T1_PL2017,PERC, 46,1.134038
3,400_FED_20160520a_3T1_PL2017,SEM, 46,0.905146
3,400_FED_20160520a_3T1_PL2017,PERC, 46,0.742247
3,366_FED_20160520b_3T1_PL2017,SEM, 46,0.591396
3,366_FED_20160520b_3T1_PL2017,PERC, 46,0.295871
3,289_FED_20160520c_3T1_PL2017,SEM, 46,0.000026
3,289_FED_20160520c_3T1_PL2017,PERC, 46,0.066887
3,401_FED_20160520d_3T1_PL2017,SEM, 46,-0.829052
3,401_FED_20160520d_3T1_PL2017,PERC, 46,-0.428413
3,409_FED_20160622a_3T1_PL2017,SEM, 46,-1.089154
3,409_FED_20160622a_3T1_PL2017,PERC, 46,-0.374517
3,410_FED_20160623b_3T2_PL2017,SEM, 46,0.627851
3,410_FED_20160623b_3T2_PL2017,PERC, 46,0.334861
3,405_FED_20160707b_3T1_PL2017,SEM, 46,1.184074
3,405_FED_20160707b_3T1_PL2017,PERC, 46,1.209647
3,408_FED_20160711a2_3T1_PL2017,SEM, 46,0.870878
3,408_FED_20160711a2_3T1_PL2017,PERC, 46,0.649462
3,290_FED_20160906c_3T2_PL2017,SEM, 46,1.105615
3,290_FED_20160906c_3T2_PL2017,PERC, 46,1.254070
3,252_FED_20160907b_3T2_PL2017,SEM, 46,0.582693
3,252_FED_20160907b_3T2_PL2017,PERC, 46,0.786150
4,249_FED_20160519a_3T1_PL2017,SEM, 162,-0.320332
4,249_FED_20160519a_3T1_PL2017,PERC, 162,-0.312063
4,376_FED_20160519b_3T1_PL2017,SEM, 162,-0.125214
4,376_FED_20160519b_3T1_PL2017,PERC, 162,-0.405139
4,343_FED_20160519c_3T1_PL2017,SEM, 162,0.517664
4,343_FED_20160519c_3T1_PL2017,PERC, 162,0.468604
4,399_FED_20160519d_3T1_PL2017,SEM, 162,0.298970
4,399_FED_20160519d_3T1_PL2017,PERC, 162,0.318330
4,400_FED_20160520a_3T1_PL2017,SEM, 162,-0.337160
4,400_FED_20160520a_3T1_PL2017,PERC, 162,-0.402084
4,366_FED_20160520b_3T1_PL2017,SEM, 162,-0.218554
4,366_FED_20160520b_3T1_PL2017,PERC, 162,-0.340530
4,289_FED_20160520c_3T1_PL2017,SEM, 162,0.342170
4,289_FED_20160520c_3T1_PL2017,PERC, 162,0.065167
4,401_FED_20160520d_3T1_PL2017,SEM, 162,-0.534068
4,401_FED_20160520d_3T1_PL2017,PERC, 162,-0.278208
4,409_FED_20160622a_3T1_PL2017,SEM, 162,-0.680972
4,409_FED_20160622a_3T1_PL2017,PERC, 162,-0.814587
4,410_FED_20160623b_3T2_PL2017,SEM, 162,-0.202781
4,410_FED_20160623b_3T2_PL2017,PERC, 162,-0.255581
4,405_FED_20160707b_3T1_PL2017,SEM, 162,0.454275
4,405_FED_20160707b_3T1_PL2017,PERC, 162,-0.075077
4,408_FED_20160711a2_3T1_PL2017,SEM, 162,0.444119
4,408_FED_20160711a2_3T1_PL2017,PERC, 162,0.102455
4,290_FED_20160906c_3T2_PL2017,SEM, 162,-0.158955
4,290_FED_20160906c_3T2_PL2017,PERC, 162,-0.247450
4,252_FED_20160907b_3T2_PL2017,SEM, 162,0.748692
4,252_FED_20160907b_3T2_PL2017,PERC, 162,0.874755
5,249_FED_20160519a_3T1_PL2017,SEM, 294,0.279027
5,249_FED_20160519a_3T1_PL2017,PERC, 294,0.256998
5,376_FED_20160519b_3T1_PL2017,SEM, 294,0.340217
5,376_FED_20160519b_3T1_PL2017,PERC, 294,-0.031075
5,343_FED_20160519c_3T1_PL2017,SEM, 294,1.111374
5,343_FED_20160519c_3T1_PL2017,PERC, 294,1.816810
5,399_FED_20160519d_3T1_PL2017,SEM, 294,-0.407434
5,399_FED_20160519d_3T1_PL2017,PERC, 294,0.136964
5,400_FED_20160520a_3T1_PL2017,SEM, 294,0.008179
5,400_FED_20160520a_3T1_PL2017,PERC, 294,-0.004513
5,366_FED_20160520b_3T1_PL2017,SEM, 294,0.151743
5,366_FED_20160520b_3T1_PL2017,PERC, 294,-0.170562
5,289_FED_20160520c_3T1_PL2017,SEM, 294,0.252455
5,289_FED_20160520c_3T1_PL2017,PERC, 294,0.108078
5,401_FED_20160520d_3T1_PL2017,SEM, 294,-0.545517
5,401_FED_20160520d_3T1_PL2017,PERC, 294,-0.068838
5,409_FED_20160622a_3T1_PL2017,SEM, 294,-0.196503
5,409_FED_20160622a_3T1_PL2017,PERC, 294,-0.245457
5,410_FED_20160623b_3T2_PL2017,SEM, 294,0.180244
5,410_FED_20160623b_3T2_PL2017,PERC, 294,0.185292
5,405_FED_20160707b_3T1_PL2017,SEM, 294,1.307191
5,405_FED_20160707b_3T1_PL2017,PERC, 294,1.297820
5,408_FED_20160711a2_3T1_PL2017,SEM, 294,0.370531
5,408_FED_20160711a2_3T1_PL2017,PERC, 294,0.024208
5,290_FED_20160906c_3T2_PL2017,SEM, 294,0.236531
5,290_FED_20160906c_3T2_PL2017,PERC, 294,0.172613
5,252_FED_20160907b_3T2_PL2017,SEM, 294,0.837561
5,252_FED_20160907b_3T2_PL2017,PERC, 294,1.279026
6,249_FED_20160519a_3T1_PL2017,SEM, 64,1.536365
6,249_FED_20160519a_3T1_PL2017,PERC, 64,0.259431
6,376_FED_20160519b_3T1_PL2017,SEM, 64,-0.376675
6,376_FED_20160519b_3T1_PL2017,PERC, 64,-0.890240
6,343_FED_20160519c_3T1_PL2017,SEM, 64,1.068897
6,343_FED_20160519c_3T1_PL2017,PERC, 64,1.361116
6,399_FED_20160519d_3T1_PL2017,SEM, 64,-0.148122
6,399_FED_20160519d_3T1_PL2017,PERC, 64,-0.260096
6,400_FED_20160520a_3T1_PL2017,SEM, 64,-0.401647
6,400_FED_20160520a_3T1_PL2017,PERC, 64,-0.899232
6,366_FED_20160520b_3T1_PL2017,SEM, 64,0.328459
6,366_FED_20160520b_3T1_PL2017,PERC, 64,-0.052295
6,289_FED_20160520c_3T1_PL2017,SEM, 64,0.040220
6,289_FED_20160520c_3T1_PL2017,PERC, 64,-0.584781
6,401_FED_20160520d_3T1_PL2017,SEM, 64,-0.995990
6,401_FED_20160520d_3T1_PL2017,PERC, 64,-0.918886
6,409_FED_20160622a_3T1_PL2017,SEM, 64,0.767172
6,409_FED_20160622a_3T1_PL2017,PERC, 64,-0.685049
6,410_FED_20160623b_3T2_PL2017,SEM, 64,0.481394
6,410_FED_20160623b_3T2_PL2017,PERC, 64,0.388505
6,405_FED_20160707b_3T1_PL2017,SEM, 64,0.674088
6,405_FED_20160707b_3T1_PL2017,PERC, 64,0.262020
6,408_FED_20160711a2_3T1_PL2017,SEM, 64,0.812671
6,408_FED_20160711a2_3T1_PL2017,PERC, 64,0.218931
6,290_FED_20160906c_3T2_PL2017,SEM, 64,1.308343
6,290_FED_20160906c_3T2_PL2017,PERC, 64,0.723724
6,252_FED_20160907b_3T2_PL2017,SEM, 64,0.972377
6,252_FED_20160907b_3T2_PL2017,PERC, 64,1.025144
7,249_FED_20160519a_3T1_PL2017,SEM, 37,0.682470
7,249_FED_20160519a_3T1_PL2017,PERC, 37,0.131681
7,376_FED_20160519b_3T1_PL2017,SEM, 37,0.306222
7,376_FED_20160519b_3T1_PL2017,PERC, 37,-0.000358
7,343_FED_20160519c_3T1_PL2017,SEM, 37,0.303361
7,343_FED_20160519c_3T1_PL2017,PERC, 37,0.557184
7,399_FED_20160519d_3T1_PL2017,SEM, 37,-0.202559
7,399_FED_20160519d_3T1_PL2017,PERC, 37,-0.157363
7,400_FED_20160520a_3T1_PL2017,SEM, 37,0.729103
7,400_FED_20160520a_3T1_PL2017,PERC, 37,0.672425
7,366_FED_20160520b_3T1_PL2017,SEM, 37,0.233057
7,366_FED_20160520b_3T1_PL2017,PERC, 37,0.153973
7,289_FED_20160520c_3T1_PL2017,SEM, 37,0.385502
7,289_FED_20160520c_3T1_PL2017,PERC, 37,-0.659874
7,401_FED_20160520d_3T1_PL2017,SEM, 37,-0.814870
7,401_FED_20160520d_3T1_PL2017,PERC, 37,-0.324740
7,409_FED_20160622a_3T1_PL2017,SEM, 37,0.402124
7,409_FED_20160622a_3T1_PL2017,PERC, 37,0.215718
7,410_FED_20160623b_3T2_PL2017,SEM, 37,-0.291726
7,410_FED_20160623b_3T2_PL2017,PERC, 37,-0.266410
7,405_FED_20160707b_3T1_PL2017,SEM, 37,-0.646080
7,405_FED_20160707b_3T1_PL2017,PERC, 37,-0.723247
7,408_FED_20160711a2_3T1_PL2017,SEM, 37,0.772709
7,408_FED_20160711a2_3T1_PL2017,PERC, 37,0.219563
7,290_FED_20160906c_3T2_PL2017,SEM, 37,0.194586
7,290_FED_20160906c_3T2_PL2017,PERC, 37,0.239030
7,252_FED_20160907b_3T2_PL2017,SEM, 37,1.232013
7,252_FED_20160907b_3T2_PL2017,PERC, 37,1.574116
8,249_FED_20160519a_3T1_PL2017,SEM, 74,1.425356
8,249_FED_20160519a_3T1_PL2017,PERC, 74,0.939733
8,376_FED_20160519b_3T1_PL2017,SEM, 74,1.086569
8,376_FED_20160519b_3T1_PL2017,PERC, 74,0.275887
8,343_FED_20160519c_3T1_PL2017,SEM, 74,0.649981
8,343_FED_20160519c_3T1_PL2017,PERC, 74,1.483511
8,399_FED_20160519d_3T1_PL2017,SEM, 74,-0.206442
8,399_FED_20160519d_3T1_PL2017,PERC, 74,-0.403174
8,400_FED_20160520a_3T1_PL2017,SEM, 74,0.279405
8,400_FED_20160520a_3T1_PL2017,PERC, 74,0.313817
8,366_FED_20160520b_3T1_PL2017,SEM, 74,0.185499
8,366_FED_20160520b_3T1_PL2017,PERC, 74,0.210733
8,289_FED_20160520c_3T1_PL2017,SEM, 74,1.089418
8,289_FED_20160520c_3T1_PL2017,PERC, 74,0.336631
8,401_FED_20160520d_3T1_PL2017,SEM, 74,-1.096023
8,401_FED_20160520d_3T1_PL2017,PERC, 74,-0.934380
8,409_FED_20160622a_3T1_PL2017,SEM, 74,0.315729
8,409_FED_20160622a_3T1_PL2017,PERC, 74,-0.022435
8,410_FED_20160623b_3T2_PL2017,SEM, 74,-0.322129
8,410_FED_20160623b_3T2_PL2017,PERC, 74,-0.378029
8,405_FED_20160707b_3T1_PL2017,SEM, 74,0.110667
8,405_FED_20160707b_3T1_PL2017,PERC, 74,0.111544
8,408_FED_20160711a2_3T1_PL2017,SEM, 74,0.686344
8,408_FED_20160711a2_3T1_PL2017,PERC, 74,0.140179
8,290_FED_20160906c_3T2_PL2017,SEM, 74,0.210455
8,290_FED_20160906c_3T2_PL2017,PERC, 74,0.363768
8,252_FED_20160907b_3T2_PL2017,SEM, 74,1.113902
8,252_FED_20160907b_3T2_PL2017,PERC, 74,1.238312
9,249_FED_20160519a_3T1_PL2017,SEM, 46,0.334071
9,249_FED_20160519a_3T1_PL2017,PERC, 46,0.283861
9,376_FED_20160519b_3T1_PL2017,SEM, 46,0.842492
9,376_FED_20160519b_3T1_PL2017,PERC, 46,0.339509
9,343_FED_20160519c_3T1_PL2017,SEM, 46,0.675293
9,343_FED_20160519c_3T1_PL2017,PERC, 46,1.252208
9,399_FED_20160519d_3T1_PL2017,SEM, 46,0.265688
9,399_FED_20160519d_3T1_PL2017,PERC, 46,0.208395
9,400_FED_20160520a_3T1_PL2017,SEM, 46,1.453965
9,400_FED_20160520a_3T1_PL2017,PERC, 46,1.680615
9,366_FED_20160520b_3T1_PL2017,SEM, 46,1.088239
9,366_FED_20160520b_3T1_PL2017,PERC, 46,1.065091
9,289_FED_20160520c_3T1_PL2017,SEM, 46,0.249241
9,289_FED_20160520c_3T1_PL2017,PERC, 46,0.373292
9,401_FED_20160520d_3T1_PL2017,SEM, 46,-0.530080
9,401_FED_20160520d_3T1_PL2017,PERC, 46,-0.449129
9,409_FED_20160622a_3T1_PL2017,SEM, 46,-1.165433
9,409_FED_20160622a_3T1_PL2017,PERC, 46,-1.215076
9,410_FED_20160623b_3T2_PL2017,SEM, 46,-0.091548
9,410_FED_20160623b_3T2_PL2017,PERC, 46,0.139834
9,405_FED_20160707b_3T1_PL2017,SEM, 46,0.707153
9,405_FED_20160707b_3T1_PL2017,PERC, 46,0.779421
9,408_FED_20160711a2_3T1_PL2017,SEM, 46,1.355259
9,408_FED_20160711a2_3T1_PL2017,PERC, 46,1.123647
9,290_FED_20160906c_3T2_PL2017,SEM, 46,2.379710
9,290_FED_20160906c_3T2_PL2017,PERC, 46,2.800394
