ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_KAN_EvDB_20150130_PL2017,S, 37,3.620856
1,249_KAN_EvDB_20150130_PL2017,N, 37,0.963358
1,376_FED_20160401b_3T2_PL2017,S, 37,1.984417
1,376_FED_20160401b_3T2_PL2017,N, 37,0.554746
1,343_FED_20160107a_3T2_PL2017,S, 37,0.836734
1,343_FED_20160107a_3T2_PL2017,N, 37,0.015863
1,399_FED_20160519d_3T1_PL2017,S, 37,1.216335
1,399_FED_20160519d_3T1_PL2017,N, 37,0.593808
1,400_FED_20160520a_3T1_PL2017,S, 37,1.482760
1,400_FED_20160520a_3T1_PL2017,N, 37,-0.207133
1,366_FED_20160229d_3T1_PL2017,S, 37,1.481386
1,366_FED_20160229d_3T1_PL2017,N, 37,0.293541
1,289_FED_20150613b_3T1_PL2017,S, 37,2.465904
1,289_FED_20150613b_3T1_PL2017,N, 37,0.597186
1,401_FED_20160520d_3T1_PL2017,S, 37,1.484984
1,401_FED_20160520d_3T1_PL2017,N, 37,0.528307
1,409_FED_20160622a_3T1_PL2017,S, 37,0.742975
1,409_FED_20160622a_3T1_PL2017,N, 37,0.473703
1,410_FED_20160623b_3T2_PL2017,S, 37,1.037939
1,410_FED_20160623b_3T2_PL2017,N, 37,-0.064717
1,405_FED_20160531a_3T1_PL2017,S, 37,1.534445
1,405_FED_20160531a_3T1_PL2017,N, 37,0.436073
1,408_FED_20160617a_3T2_PL2017,S, 37,1.500763
1,408_FED_20160617a_3T2_PL2017,N, 37,1.364738
1,290_FED_20150615a_3T2_PL2017,S, 37,1.831292
1,290_FED_20150615a_3T2_PL2017,N, 37,0.509263
1,252_KAN_evDB_20150206_PL2017,S, 37,2.356036
1,252_KAN_evDB_20150206_PL2017,N, 37,1.104816
2,249_KAN_EvDB_20150130_PL2017,S, 74,3.786276
2,249_KAN_EvDB_20150130_PL2017,N, 74,0.741085
2,376_FED_20160401b_3T2_PL2017,S, 74,2.546678
2,376_FED_20160401b_3T2_PL2017,N, 74,0.611033
2,343_FED_20160107a_3T2_PL2017,S, 74,1.933851
2,343_FED_20160107a_3T2_PL2017,N, 74,0.728799
2,399_FED_20160519d_3T1_PL2017,S, 74,1.053709
2,399_FED_20160519d_3T1_PL2017,N, 74,0.375322
2,400_FED_20160520a_3T1_PL2017,S, 74,3.774747
2,400_FED_20160520a_3T1_PL2017,N, 74,1.174432
2,366_FED_20160229d_3T1_PL2017,S, 74,1.876200
2,366_FED_20160229d_3T1_PL2017,N, 74,-0.091816
2,289_FED_20150613b_3T1_PL2017,S, 74,2.555636
2,289_FED_20150613b_3T1_PL2017,N, 74,0.686902
2,401_FED_20160520d_3T1_PL2017,S, 74,2.531436
2,401_FED_20160520d_3T1_PL2017,N, 74,1.304783
2,409_FED_20160622a_3T1_PL2017,S, 74,0.556544
2,409_FED_20160622a_3T1_PL2017,N, 74,0.182220
2,410_FED_20160623b_3T2_PL2017,S, 74,2.124264
