ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,LD, 294,0.205745
1,249_FED_20160519a_3T1_PL2017,HD, 294,0.331437
1,376_FED_20160519b_3T1_PL2017,LD, 294,0.071636
1,376_FED_20160519b_3T1_PL2017,HD, 294,0.298041
1,343_FED_20160519c_3T1_PL2017,LD, 294,1.727730
1,343_FED_20160519c_3T1_PL2017,HD, 294,1.058223
1,399_FED_20160519d_3T1_PL2017,LD, 294,-0.149337
1,399_FED_20160519d_3T1_PL2017,HD, 294,-0.300561
1,400_FED_20160520a_3T1_PL2017,LD, 294,0.036060
1,400_FED_20160520a_3T1_PL2017,HD, 294,-0.014241
1,366_FED_20160520b_3T1_PL2017,LD, 294,-0.215809
1,366_FED_20160520b_3T1_PL2017,HD, 294,-0.179374
1,289_FED_20160520c_3T1_PL2017,LD, 294,0.179547
1,289_FED_20160520c_3T1_PL2017,HD, 294,0.264169
1,401_FED_20160520d_3T1_PL2017,LD, 294,-0.279838
1,401_FED_20160520d_3T1_PL2017,HD, 294,-0.685768
1,409_FED_20160622a_3T1_PL2017,LD, 294,-0.186183
1,409_FED_20160622a_3T1_PL2017,HD, 294,-0.290073
1,410_FED_20160623b_3T2_PL2017,LD, 294,0.171421
1,410_FED_20160623b_3T2_PL2017,HD, 294,0.246933
1,405_FED_20160707b_3T1_PL2017,LD, 294,1.402164
1,405_FED_20160707b_3T1_PL2017,HD, 294,0.972877
1,408_FED_20160711a2_3T1_PL2017,LD, 294,0.193699
1,408_FED_20160711a2_3T1_PL2017,HD, 294,0.243806
1,290_FED_20160906c_3T2_PL2017,LD, 294,0.221617
1,290_FED_20160906c_3T2_PL2017,HD, 294,0.215064
1,252_FED_20160907b_3T2_PL2017,LD, 294,1.127911
1,252_FED_20160907b_3T2_PL2017,HD, 294,0.887515
2,249_FED_20160519a_3T1_PL2017,LD, 162,-0.338796
2,249_FED_20160519a_3T1_PL2017,HD, 162,-0.261197
2,376_FED_20160519b_3T1_PL2017,LD, 162,-0.329264
2,376_FED_20160519b_3T1_PL2017,HD, 162,-0.085653
2,343_FED_20160519c_3T1_PL2017,LD, 162,0.459327
2,343_FED_20160519c_3T1_PL2017,HD, 162,0.545320
2,399_FED_20160519d_3T1_PL2017,LD, 162,0.226899
2,399_FED_20160519d_3T1_PL2017,HD, 162,0.336049
2,400_FED_20160520a_3T1_PL2017,LD, 162,-0.360163
2,400_FED_20160520a_3T1_PL2017,HD, 162,-0.164340
2,366_FED_20160520b_3T1_PL2017,LD, 162,-0.246442
2,366_FED_20160520b_3T1_PL2017,HD, 162,-0.208852
2,289_FED_20160520c_3T1_PL2017,LD, 162,0.160495
2,289_FED_20160520c_3T1_PL2017,HD, 162,0.351265
2,401_FED_20160520d_3T1_PL2017,LD, 162,-0.301375
2,401_FED_20160520d_3T1_PL2017,HD, 162,-0.633008
2,409_FED_20160622a_3T1_PL2017,LD, 162,-0.755181
2,409_FED_20160622a_3T1_PL2017,HD, 162,-0.626724
2,410_FED_20160623b_3T2_PL2017,LD, 162,-0.221902
2,410_FED_20160623b_3T2_PL2017,HD, 162,-0.215142
2,405_FED_20160707b_3T1_PL2017,LD, 162,0.031800
2,405_FED_20160707b_3T1_PL2017,HD, 162,0.246777
2,408_FED_20160711a2_3T1_PL2017,LD, 162,0.176558
2,408_FED_20160711a2_3T1_PL2017,HD, 162,0.383034
2,290_FED_20160906c_3T2_PL2017,LD, 162,-0.244287
2,290_FED_20160906c_3T2_PL2017,HD, 162,-0.157668
2,252_FED_20160907b_3T2_PL2017,LD, 162,0.805067
2,252_FED_20160907b_3T2_PL2017,HD, 162,0.741958
3,249_FED_20160519a_3T1_PL2017,LD, 64,0.432421
3,249_FED_20160519a_3T1_PL2017,HD, 64,1.612204
3,376_FED_20160519b_3T1_PL2017,LD, 64,-0.800143
3,376_FED_20160519b_3T1_PL2017,HD, 64,-0.208878
3,343_FED_20160519c_3T1_PL2017,LD, 64,1.234447
3,343_FED_20160519c_3T1_PL2017,HD, 64,1.130610
3,399_FED_20160519d_3T1_PL2017,LD, 64,-0.361109
3,399_FED_20160519d_3T1_PL2017,HD, 64,-0.063252
3,400_FED_20160520a_3T1_PL2017,LD, 64,-0.673036
3,400_FED_20160520a_3T1_PL2017,HD, 64,-0.336671
3,366_FED_20160520b_3T1_PL2017,LD, 64,-0.188025
3,366_FED_20160520b_3T1_PL2017,HD, 64,-0.083096
3,289_FED_20160520c_3T1_PL2017,LD, 64,-0.310798
3,289_FED_20160520c_3T1_PL2017,HD, 64,0.109287
3,401_FED_20160520d_3T1_PL2017,LD, 64,-1.034501
3,401_FED_20160520d_3T1_PL2017,HD, 64,-1.325735
3,409_FED_20160622a_3T1_PL2017,LD, 64,-0.138917
3,409_FED_20160622a_3T1_PL2017,HD, 64,0.737327
3,410_FED_20160623b_3T2_PL2017,LD, 64,0.446154
3,410_FED_20160623b_3T2_PL2017,HD, 64,0.470317
3,405_FED_20160707b_3T1_PL2017,LD, 64,0.372332
3,405_FED_20160707b_3T1_PL2017,HD, 64,0.351581
3,408_FED_20160711a2_3T1_PL2017,LD, 64,0.463878
