ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_KAN_EvDB_20150130_PL2017,S, 294,4.187313
1,249_KAN_EvDB_20150130_PL2017,N, 294,1.281842
1,249_KAN_EvDB_20150130_PL2017,S-N, 294,2.905471
1,376_FED_20160401b_3T2_PL2017,S, 294,1.842754
1,376_FED_20160401b_3T2_PL2017,N, 294,0.135468
1,376_FED_20160401b_3T2_PL2017,S-N, 294,1.707286
1,343_FED_20160107a_3T2_PL2017,S, 294,1.926088
1,343_FED_20160107a_3T2_PL2017,N, 294,0.269218
1,343_FED_20160107a_3T2_PL2017,S-N, 294,1.656871
1,399_FED_20160519d_3T1_PL2017,S, 294,1.123733
1,399_FED_20160519d_3T1_PL2017,N, 294,0.404598
1,399_FED_20160519d_3T1_PL2017,S-N, 294,0.719135
1,400_FED_20160520a_3T1_PL2017,S, 294,2.840894
1,400_FED_20160520a_3T1_PL2017,N, 294,0.199500
1,400_FED_20160520a_3T1_PL2017,S-N, 294,2.641395
1,366_FED_20160229d_3T1_PL2017,S, 294,1.688922
1,366_FED_20160229d_3T1_PL2017,N, 294,0.117598
1,366_FED_20160229d_3T1_PL2017,S-N, 294,1.571324
1,289_FED_20150613b_3T1_PL2017,S, 294,2.656222
1,289_FED_20150613b_3T1_PL2017,N, 294,0.636395
1,289_FED_20150613b_3T1_PL2017,S-N, 294,2.019827
1,401_FED_20160520d_3T1_PL2017,S, 294,1.216836
1,401_FED_20160520d_3T1_PL2017,N, 294,0.637559
1,401_FED_20160520d_3T1_PL2017,S-N, 294,0.579277
1,409_FED_20160622a_3T1_PL2017,S, 294,1.144517
1,409_FED_20160622a_3T1_PL2017,N, 294,0.422756
1,409_FED_20160622a_3T1_PL2017,S-N, 294,0.721761
1,410_FED_20160623b_3T2_PL2017,S, 294,1.762884
1,410_FED_20160623b_3T2_PL2017,N, 294,0.297538
1,410_FED_20160623b_3T2_PL2017,S-N, 294,1.465347
1,405_FED_20160531a_3T1_PL2017,S, 294,2.938126
1,405_FED_20160531a_3T1_PL2017,N, 294,1.160299
1,405_FED_20160531a_3T1_PL2017,S-N, 294,1.777828
1,408_FED_20160617a_3T2_PL2017,S, 294,1.645496
1,408_FED_20160617a_3T2_PL2017,N, 294,0.547449
