ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,249_FED_20160519a_3T1_PL2017,SEM, 395,2.958260
LH_postParietal,249_FED_20160519a_3T1_PL2017,PERC, 395,2.617620
LH_postParietal,376_FED_20160519b_3T1_PL2017,SEM, 395,1.750312
LH_postParietal,376_FED_20160519b_3T1_PL2017,PERC, 395,1.221518
LH_postParietal,343_FED_20160519c_3T1_PL2017,SEM, 395,3.126466
LH_postParietal,343_FED_20160519c_3T1_PL2017,PERC, 395,4.463474
LH_postParietal,399_FED_20160519d_3T1_PL2017,SEM, 395,1.193016
LH_postParietal,399_FED_20160519d_3T1_PL2017,PERC, 395,1.404054
LH_postParietal,400_FED_20160520a_3T1_PL2017,SEM, 395,0.662134
LH_postParietal,400_FED_20160520a_3T1_PL2017,PERC, 395,0.745549
LH_postParietal,366_FED_20160520b_3T1_PL2017,SEM, 395,1.756613
LH_postParietal,366_FED_20160520b_3T1_PL2017,PERC, 395,2.030007
LH_postParietal,289_FED_20160520c_3T1_PL2017,SEM, 395,0.384232
LH_postParietal,289_FED_20160520c_3T1_PL2017,PERC, 395,0.136143
LH_postParietal,401_FED_20160520d_3T1_PL2017,SEM, 395,0.584781
LH_postParietal,401_FED_20160520d_3T1_PL2017,PERC, 395,1.258073
LH_postParietal,409_FED_20160622a_3T1_PL2017,SEM, 395,1.981631
LH_postParietal,409_FED_20160622a_3T1_PL2017,PERC, 395,2.967111
LH_postParietal,410_FED_20160623b_3T2_PL2017,SEM, 395,0.670107
LH_postParietal,410_FED_20160623b_3T2_PL2017,PERC, 395,0.387615
LH_postParietal,405_FED_20160707b_3T1_PL2017,SEM, 395,0.558064
LH_postParietal,405_FED_20160707b_3T1_PL2017,PERC, 395,0.559790
LH_postParietal,408_FED_20160711a2_3T1_PL2017,SEM, 395,2.406647
LH_postParietal,408_FED_20160711a2_3T1_PL2017,PERC, 395,1.678376
LH_postParietal,290_FED_20160906c_3T2_PL2017,SEM, 395,1.436727
LH_postParietal,290_FED_20160906c_3T2_PL2017,PERC, 395,1.900034
LH_postParietal,252_FED_20160907b_3T2_PL2017,SEM, 395,1.729797
LH_postParietal,252_FED_20160907b_3T2_PL2017,PERC, 395,1.823247
LH_midParietal,249_FED_20160519a_3T1_PL2017,SEM, 86,3.281539
LH_midParietal,249_FED_20160519a_3T1_PL2017,PERC, 86,3.376905
LH_midParietal,376_FED_20160519b_3T1_PL2017,SEM, 86,1.194557
LH_midParietal,376_FED_20160519b_3T1_PL2017,PERC, 86,0.721598
LH_midParietal,343_FED_20160519c_3T1_PL2017,SEM, 86,1.379699
LH_midParietal,343_FED_20160519c_3T1_PL2017,PERC, 86,2.176995
LH_midParietal,399_FED_20160519d_3T1_PL2017,SEM, 86,0.131651
LH_midParietal,399_FED_20160519d_3T1_PL2017,PERC, 86,0.326286
LH_midParietal,400_FED_20160520a_3T1_PL2017,SEM, 86,0.645971
LH_midParietal,400_FED_20160520a_3T1_PL2017,PERC, 86,0.893103
LH_midParietal,366_FED_20160520b_3T1_PL2017,SEM, 86,0.260586
LH_midParietal,366_FED_20160520b_3T1_PL2017,PERC, 86,0.355320
LH_midParietal,289_FED_20160520c_3T1_PL2017,SEM, 86,-0.117228
LH_midParietal,289_FED_20160520c_3T1_PL2017,PERC, 86,-0.124431
LH_midParietal,401_FED_20160520d_3T1_PL2017,SEM, 86,1.585188
LH_midParietal,401_FED_20160520d_3T1_PL2017,PERC, 86,2.778795
LH_midParietal,409_FED_20160622a_3T1_PL2017,SEM, 86,-0.086291
LH_midParietal,409_FED_20160622a_3T1_PL2017,PERC, 86,0.786619
LH_midParietal,410_FED_20160623b_3T2_PL2017,SEM, 86,1.076952
LH_midParietal,410_FED_20160623b_3T2_PL2017,PERC, 86,0.997770
LH_midParietal,405_FED_20160707b_3T1_PL2017,SEM, 86,1.042789
LH_midParietal,405_FED_20160707b_3T1_PL2017,PERC, 86,1.156760
LH_midParietal,408_FED_20160711a2_3T1_PL2017,SEM, 86,0.446543
LH_midParietal,408_FED_20160711a2_3T1_PL2017,PERC, 86,-0.144711
LH_midParietal,290_FED_20160906c_3T2_PL2017,SEM, 86,0.449656
LH_midParietal,290_FED_20160906c_3T2_PL2017,PERC, 86,1.688384
LH_midParietal,252_FED_20160907b_3T2_PL2017,SEM, 86,1.341476
LH_midParietal,252_FED_20160907b_3T2_PL2017,PERC, 86,2.033878
LH_antParietal,249_FED_20160519a_3T1_PL2017,SEM, 201,1.200728
LH_antParietal,249_FED_20160519a_3T1_PL2017,PERC, 201,1.718552
LH_antParietal,376_FED_20160519b_3T1_PL2017,SEM, 201,0.975108
LH_antParietal,376_FED_20160519b_3T1_PL2017,PERC, 201,0.739433
LH_antParietal,343_FED_20160519c_3T1_PL2017,SEM, 201,2.128202
LH_antParietal,343_FED_20160519c_3T1_PL2017,PERC, 201,3.352882
LH_antParietal,399_FED_20160519d_3T1_PL2017,SEM, 201,0.347406
LH_antParietal,399_FED_20160519d_3T1_PL2017,PERC, 201,0.836115
LH_antParietal,400_FED_20160520a_3T1_PL2017,SEM, 201,1.354829
LH_antParietal,400_FED_20160520a_3T1_PL2017,PERC, 201,1.955315
LH_antParietal,366_FED_20160520b_3T1_PL2017,SEM, 201,0.792792
LH_antParietal,366_FED_20160520b_3T1_PL2017,PERC, 201,0.938128
LH_antParietal,289_FED_20160520c_3T1_PL2017,SEM, 201,0.467630
LH_antParietal,289_FED_20160520c_3T1_PL2017,PERC, 201,0.528054
LH_antParietal,401_FED_20160520d_3T1_PL2017,SEM, 201,0.606144
LH_antParietal,401_FED_20160520d_3T1_PL2017,PERC, 201,1.483886
LH_antParietal,409_FED_20160622a_3T1_PL2017,SEM, 201,0.906638
LH_antParietal,409_FED_20160622a_3T1_PL2017,PERC, 201,1.846262
LH_antParietal,410_FED_20160623b_3T2_PL2017,SEM, 201,0.035387
LH_antParietal,410_FED_20160623b_3T2_PL2017,PERC, 201,-0.203054
LH_antParietal,405_FED_20160707b_3T1_PL2017,SEM, 201,0.176566
LH_antParietal,405_FED_20160707b_3T1_PL2017,PERC, 201,0.428020
LH_antParietal,408_FED_20160711a2_3T1_PL2017,SEM, 201,0.696245
LH_antParietal,408_FED_20160711a2_3T1_PL2017,PERC, 201,0.076608
LH_antParietal,290_FED_20160906c_3T2_PL2017,SEM, 201,-0.246945
LH_antParietal,290_FED_20160906c_3T2_PL2017,PERC, 201,0.722670
LH_antParietal,252_FED_20160907b_3T2_PL2017,SEM, 201,1.956514
LH_antParietal,252_FED_20160907b_3T2_PL2017,PERC, 201,2.260354
LH_supFrontal,249_FED_20160519a_3T1_PL2017,SEM, 179,-0.180877
LH_supFrontal,249_FED_20160519a_3T1_PL2017,PERC, 179,-0.096154
LH_supFrontal,376_FED_20160519b_3T1_PL2017,SEM, 179,2.039068
LH_supFrontal,376_FED_20160519b_3T1_PL2017,PERC, 179,1.171827
LH_supFrontal,343_FED_20160519c_3T1_PL2017,SEM, 179,2.984661
LH_supFrontal,343_FED_20160519c_3T1_PL2017,PERC, 179,4.100649
LH_supFrontal,399_FED_20160519d_3T1_PL2017,SEM, 179,1.016764
LH_supFrontal,399_FED_20160519d_3T1_PL2017,PERC, 179,1.407858
LH_supFrontal,400_FED_20160520a_3T1_PL2017,SEM, 179,0.149845
LH_supFrontal,400_FED_20160520a_3T1_PL2017,PERC, 179,0.239343
LH_supFrontal,366_FED_20160520b_3T1_PL2017,SEM, 179,0.961295
LH_supFrontal,366_FED_20160520b_3T1_PL2017,PERC, 179,0.968321
LH_supFrontal,289_FED_20160520c_3T1_PL2017,SEM, 179,-0.522755
LH_supFrontal,289_FED_20160520c_3T1_PL2017,PERC, 179,-0.676877
LH_supFrontal,401_FED_20160520d_3T1_PL2017,SEM, 179,0.458500
LH_supFrontal,401_FED_20160520d_3T1_PL2017,PERC, 179,1.114224
LH_supFrontal,409_FED_20160622a_3T1_PL2017,SEM, 179,1.175533
LH_supFrontal,409_FED_20160622a_3T1_PL2017,PERC, 179,1.510267
LH_supFrontal,410_FED_20160623b_3T2_PL2017,SEM, 179,-0.105210
LH_supFrontal,410_FED_20160623b_3T2_PL2017,PERC, 179,-0.344682
LH_supFrontal,405_FED_20160707b_3T1_PL2017,SEM, 179,0.500927
LH_supFrontal,405_FED_20160707b_3T1_PL2017,PERC, 179,0.539093
LH_supFrontal,408_FED_20160711a2_3T1_PL2017,SEM, 179,0.837372
LH_supFrontal,408_FED_20160711a2_3T1_PL2017,PERC, 179,0.573100
LH_supFrontal,290_FED_20160906c_3T2_PL2017,SEM, 179,0.306678
LH_supFrontal,290_FED_20160906c_3T2_PL2017,PERC, 179,0.646523
LH_supFrontal,252_FED_20160907b_3T2_PL2017,SEM, 179,1.507935
LH_supFrontal,252_FED_20160907b_3T2_PL2017,PERC, 179,1.788151
LH_Precentral_A_precG,249_FED_20160519a_3T1_PL2017,SEM, 118,2.287876
LH_Precentral_A_precG,249_FED_20160519a_3T1_PL2017,PERC, 118,2.267263
LH_Precentral_A_precG,376_FED_20160519b_3T1_PL2017,SEM, 118,2.691747
LH_Precentral_A_precG,376_FED_20160519b_3T1_PL2017,PERC, 118,2.132703
LH_Precentral_A_precG,343_FED_20160519c_3T1_PL2017,SEM, 118,5.357743
LH_Precentral_A_precG,343_FED_20160519c_3T1_PL2017,PERC, 118,6.970646
LH_Precentral_A_precG,399_FED_20160519d_3T1_PL2017,SEM, 118,3.003306
LH_Precentral_A_precG,399_FED_20160519d_3T1_PL2017,PERC, 118,3.200163
LH_Precentral_A_precG,400_FED_20160520a_3T1_PL2017,SEM, 118,1.231828
LH_Precentral_A_precG,400_FED_20160520a_3T1_PL2017,PERC, 118,1.667344
LH_Precentral_A_precG,366_FED_20160520b_3T1_PL2017,SEM, 118,2.597559
LH_Precentral_A_precG,366_FED_20160520b_3T1_PL2017,PERC, 118,2.930576
LH_Precentral_A_precG,289_FED_20160520c_3T1_PL2017,SEM, 118,0.289143
LH_Precentral_A_precG,289_FED_20160520c_3T1_PL2017,PERC, 118,0.202349
LH_Precentral_A_precG,401_FED_20160520d_3T1_PL2017,SEM, 118,2.303171
LH_Precentral_A_precG,401_FED_20160520d_3T1_PL2017,PERC, 118,3.280468
LH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,SEM, 118,0.871142
LH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,PERC, 118,1.565744
LH_Precentral_A_precG,410_FED_20160623b_3T2_PL2017,SEM, 118,1.172589
