ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_KAN_EvDB_20150130_PL2017,S, 395,0.317039
1,249_KAN_EvDB_20150130_PL2017,N, 395,0.375470
1,249_KAN_EvDB_20150130_PL2017,S-N, 395,-0.058431
1,376_FED_20160401b_3T2_PL2017,S, 395,-0.048025
1,376_FED_20160401b_3T2_PL2017,N, 395,0.098557
1,376_FED_20160401b_3T2_PL2017,S-N, 395,-0.146582
1,343_FED_20160107a_3T2_PL2017,S, 395,1.459970
1,343_FED_20160107a_3T2_PL2017,N, 395,2.416482
1,343_FED_20160107a_3T2_PL2017,S-N, 395,-0.956511
1,399_FED_20160519d_3T1_PL2017,S, 395,0.094945
1,399_FED_20160519d_3T1_PL2017,N, 395,-0.110618
1,399_FED_20160519d_3T1_PL2017,S-N, 395,0.205563
1,400_FED_20160520a_3T1_PL2017,S, 395,-1.615078
1,400_FED_20160520a_3T1_PL2017,N, 395,-0.713467
1,400_FED_20160520a_3T1_PL2017,S-N, 395,-0.901611
1,366_FED_20160229d_3T1_PL2017,S, 395,-0.489437
1,366_FED_20160229d_3T1_PL2017,N, 395,-0.049728
1,366_FED_20160229d_3T1_PL2017,S-N, 395,-0.439709
1,289_FED_20150613b_3T1_PL2017,S, 395,0.047212
1,289_FED_20150613b_3T1_PL2017,N, 395,0.778838
1,289_FED_20150613b_3T1_PL2017,S-N, 395,-0.731626
1,401_FED_20160520d_3T1_PL2017,S, 395,0.061402
1,401_FED_20160520d_3T1_PL2017,N, 395,0.331064
1,401_FED_20160520d_3T1_PL2017,S-N, 395,-0.269662
1,409_FED_20160622a_3T1_PL2017,S, 395,0.052624
1,409_FED_20160622a_3T1_PL2017,N, 395,1.264072
1,409_FED_20160622a_3T1_PL2017,S-N, 395,-1.211448
1,410_FED_20160623b_3T2_PL2017,S, 395,0.058840
1,410_FED_20160623b_3T2_PL2017,N, 395,0.024409
1,410_FED_20160623b_3T2_PL2017,S-N, 395,0.034431
1,405_FED_20160531a_3T1_PL2017,S, 395,-0.519225
1,405_FED_20160531a_3T1_PL2017,N, 395,0.032921
