ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_KAN_EvDB_20150130_PL2017,H, 395,5.877504
1,249_KAN_EvDB_20150130_PL2017,E, 395,4.497562
1,249_KAN_EvDB_20150130_PL2017,H-E, 395,1.379942
1,376_FED_20160401b_3T2_PL2017,H, 395,4.483904
1,376_FED_20160401b_3T2_PL2017,E, 395,2.979724
1,376_FED_20160401b_3T2_PL2017,H-E, 395,1.504180
1,399_FED_20160519d_3T1_PL2017,H, 395,3.439619
1,399_FED_20160519d_3T1_PL2017,E, 395,2.077367
1,399_FED_20160519d_3T1_PL2017,H-E, 395,1.362252
1,400_FED_20160520a_3T1_PL2017,H, 395,4.832537
1,400_FED_20160520a_3T1_PL2017,E, 395,3.124534
1,400_FED_20160520a_3T1_PL2017,H-E, 395,1.708004
1,366_FED_20160520b_3T1_PL2017,H, 395,3.842696
1,366_FED_20160520b_3T1_PL2017,E, 395,3.476964
1,366_FED_20160520b_3T1_PL2017,H-E, 395,0.365732
1,401_FED_20160520d_3T1_PL2017,H, 395,4.303337
1,401_FED_20160520d_3T1_PL2017,E, 395,3.369648
1,401_FED_20160520d_3T1_PL2017,H-E, 395,0.933689
1,409_FED_20160622a_3T1_PL2017,H, 395,6.364290
1,409_FED_20160622a_3T1_PL2017,E, 395,4.291421
1,409_FED_20160622a_3T1_PL2017,H-E, 395,2.072869
1,410_FED_20160623b_3T2_PL2017,H, 395,4.978901
1,410_FED_20160623b_3T2_PL2017,E, 395,3.221687
1,410_FED_20160623b_3T2_PL2017,H-E, 395,1.757215
1,405_FED_20160707b_3T1_PL2017,H, 395,4.264815
1,405_FED_20160707b_3T1_PL2017,E, 395,2.895594
1,405_FED_20160707b_3T1_PL2017,H-E, 395,1.369220
1,408_FED_20160621a_3T2_PL2017,H, 395,5.835721
1,408_FED_20160621a_3T2_PL2017,E, 395,3.471949
1,408_FED_20160621a_3T2_PL2017,H-E, 395,2.363772
1,290_FED_20150615a_3T2_PL2017,H, 395,3.964963
1,290_FED_20150615a_3T2_PL2017,E, 395,3.320655
1,290_FED_20150615a_3T2_PL2017,H-E, 395,0.644308
1,252_KAN_evDB_20150206_PL2017,H, 395,4.393321
1,252_KAN_evDB_20150206_PL2017,E, 395,3.403092
1,252_KAN_evDB_20150206_PL2017,H-E, 395,0.990229
2,249_KAN_EvDB_20150130_PL2017,H, 86,5.496967
2,249_KAN_EvDB_20150130_PL2017,E, 86,4.161196
2,249_KAN_EvDB_20150130_PL2017,H-E, 86,1.335771
2,376_FED_20160401b_3T2_PL2017,H, 86,7.586774
2,376_FED_20160401b_3T2_PL2017,E, 86,4.679400
2,376_FED_20160401b_3T2_PL2017,H-E, 86,2.907374
2,399_FED_20160519d_3T1_PL2017,H, 86,1.205138
2,399_FED_20160519d_3T1_PL2017,E, 86,0.497304
2,399_FED_20160519d_3T1_PL2017,H-E, 86,0.707834
2,400_FED_20160520a_3T1_PL2017,H, 86,4.938708
2,400_FED_20160520a_3T1_PL2017,E, 86,2.696126
2,400_FED_20160520a_3T1_PL2017,H-E, 86,2.242581
