ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,249_KAN_EvDB_20150130_PL2017,H, 395,5.877504
LH_postParietal,249_KAN_EvDB_20150130_PL2017,E, 395,4.497562
LH_postParietal,376_FED_20160401b_3T2_PL2017,H, 395,4.483904
LH_postParietal,376_FED_20160401b_3T2_PL2017,E, 395,2.979724
LH_postParietal,399_FED_20160519d_3T1_PL2017,H, 395,3.439619
LH_postParietal,399_FED_20160519d_3T1_PL2017,E, 395,2.077367
LH_postParietal,400_FED_20160520a_3T1_PL2017,H, 395,4.832537
LH_postParietal,400_FED_20160520a_3T1_PL2017,E, 395,3.124534
LH_postParietal,366_FED_20160520b_3T1_PL2017,H, 395,3.842696
LH_postParietal,366_FED_20160520b_3T1_PL2017,E, 395,3.476964
LH_postParietal,401_FED_20160520d_3T1_PL2017,H, 395,4.303337
LH_postParietal,401_FED_20160520d_3T1_PL2017,E, 395,3.369648
LH_postParietal,409_FED_20160622a_3T1_PL2017,H, 395,6.364290
LH_postParietal,409_FED_20160622a_3T1_PL2017,E, 395,4.291421
LH_postParietal,410_FED_20160623b_3T2_PL2017,H, 395,4.978901
LH_postParietal,410_FED_20160623b_3T2_PL2017,E, 395,3.221687
LH_postParietal,405_FED_20160707b_3T1_PL2017,H, 395,4.264815
LH_postParietal,405_FED_20160707b_3T1_PL2017,E, 395,2.895594
LH_postParietal,408_FED_20160621a_3T2_PL2017,H, 395,5.835721
LH_postParietal,408_FED_20160621a_3T2_PL2017,E, 395,3.471949
LH_postParietal,290_FED_20150615a_3T2_PL2017,H, 395,3.964963
LH_postParietal,290_FED_20150615a_3T2_PL2017,E, 395,3.320655
LH_postParietal,252_KAN_evDB_20150206_PL2017,H, 395,4.393321
LH_postParietal,252_KAN_evDB_20150206_PL2017,E, 395,3.403092
LH_midParietal,249_KAN_EvDB_20150130_PL2017,H, 86,5.496967
LH_midParietal,249_KAN_EvDB_20150130_PL2017,E, 86,4.161196
LH_midParietal,376_FED_20160401b_3T2_PL2017,H, 86,7.586774
LH_midParietal,376_FED_20160401b_3T2_PL2017,E, 86,4.679400
LH_midParietal,399_FED_20160519d_3T1_PL2017,H, 86,1.205138
LH_midParietal,399_FED_20160519d_3T1_PL2017,E, 86,0.497304
LH_midParietal,400_FED_20160520a_3T1_PL2017,H, 86,4.938708
LH_midParietal,400_FED_20160520a_3T1_PL2017,E, 86,2.696126
LH_midParietal,366_FED_20160520b_3T1_PL2017,H, 86,0.577109
LH_midParietal,366_FED_20160520b_3T1_PL2017,E, 86,0.646203
LH_midParietal,401_FED_20160520d_3T1_PL2017,H, 86,4.608435
LH_midParietal,401_FED_20160520d_3T1_PL2017,E, 86,3.331242
LH_midParietal,409_FED_20160622a_3T1_PL2017,H, 86,4.595100
LH_midParietal,409_FED_20160622a_3T1_PL2017,E, 86,2.741856
LH_midParietal,410_FED_20160623b_3T2_PL2017,H, 86,3.894992
LH_midParietal,410_FED_20160623b_3T2_PL2017,E, 86,2.510076
LH_midParietal,405_FED_20160707b_3T1_PL2017,H, 86,3.222215
LH_midParietal,405_FED_20160707b_3T1_PL2017,E, 86,2.106584
LH_midParietal,408_FED_20160621a_3T2_PL2017,H, 86,3.675537
LH_midParietal,408_FED_20160621a_3T2_PL2017,E, 86,1.884807
LH_midParietal,290_FED_20150615a_3T2_PL2017,H, 86,3.357888
LH_midParietal,290_FED_20150615a_3T2_PL2017,E, 86,2.843439
LH_midParietal,252_KAN_evDB_20150206_PL2017,H, 86,5.166546
LH_midParietal,252_KAN_evDB_20150206_PL2017,E, 86,3.396307
LH_antParietal,249_KAN_EvDB_20150130_PL2017,H, 201,4.674974
LH_antParietal,249_KAN_EvDB_20150130_PL2017,E, 201,3.667745
LH_antParietal,376_FED_20160401b_3T2_PL2017,H, 201,2.387042
LH_antParietal,376_FED_20160401b_3T2_PL2017,E, 201,1.592897
LH_antParietal,399_FED_20160519d_3T1_PL2017,H, 201,2.316376
LH_antParietal,399_FED_20160519d_3T1_PL2017,E, 201,0.757720
LH_antParietal,400_FED_20160520a_3T1_PL2017,H, 201,3.472433
LH_antParietal,400_FED_20160520a_3T1_PL2017,E, 201,1.927526
LH_antParietal,366_FED_20160520b_3T1_PL2017,H, 201,2.143110
LH_antParietal,366_FED_20160520b_3T1_PL2017,E, 201,2.004643
LH_antParietal,401_FED_20160520d_3T1_PL2017,H, 201,4.831392
LH_antParietal,401_FED_20160520d_3T1_PL2017,E, 201,3.416951
LH_antParietal,409_FED_20160622a_3T1_PL2017,H, 201,2.872081
LH_antParietal,409_FED_20160622a_3T1_PL2017,E, 201,1.925793
LH_antParietal,410_FED_20160623b_3T2_PL2017,H, 201,5.809757
LH_antParietal,410_FED_20160623b_3T2_PL2017,E, 201,3.808886
LH_antParietal,405_FED_20160707b_3T1_PL2017,H, 201,1.630027
LH_antParietal,405_FED_20160707b_3T1_PL2017,E, 201,0.940505
LH_antParietal,408_FED_20160621a_3T2_PL2017,H, 201,3.841058
LH_antParietal,408_FED_20160621a_3T2_PL2017,E, 201,1.916376
LH_antParietal,290_FED_20150615a_3T2_PL2017,H, 201,2.433734
LH_antParietal,290_FED_20150615a_3T2_PL2017,E, 201,1.924822
